T.R. Position,D.R. Position,T.T.Rotation [min-1],T.R.Rotation [min-1],T.R.Oscillation [mm],T.R.Oscillation Speed [mm/sec],Pressurized Chamber Condition,Pressurized Chamber Pressure [hPa],Retainer Ring Pressure [hPa],Outer Air Bag Condition,Outer Air Bag Pressure [hPa],Center Air Bag Condition,Center Air Bag Pressure [hPa],Ripple Air Bag Condition,Ripple Air Bag Pressure [hPa],Edge Air Bag Condition,Edge Air Bag Pressure [hPa],D.R. Rotation [min-1],D.R. Load [N],Line A Select,Line B Select,Line C Select,Dressing Water Select,Supply LineA Flow Rate [ml/min],Supply LineB Flow Rate [ml/min],Supply LineC Flow Rate [ml/min],N2 Supply,Pre-Load Time of Line Supply [sec],End Point Valid/Invalid,Wafer Cleaning Time at T.R. [sec],T.R. Rotation at Water Clean. [min-1],Water Spray for Wafer as T.R.,Wafer Cleaning Time at Lifter [sec],Chemical Select at Lifter,Overhang,EPM Communication,Jump Step No. (Error Detect)
0,0,20.0,0.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,50.0,0.0,0.0,20.0,3,50.0,250.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,400.0,900.0,0,300.0,0,300.0,0,300.0,0,300.0,20.0,100.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,50.0,900.0,3,300.0,3,300.0,3,300.0,3,300.0,20.0,100.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,113.0,700.0,3,127.0,3,147.0,3,140.0,3,175.0,20.0,100.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,3.0,10.0,1,0.0,0,1,1,7.0
1,0,30.0,31.0,0.0,20.0,3,113.0,350.0,3,127.0,3,147.0,3,140.0,3,175.0,20.0,100.0,1,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,70.0,71.0,0.0,20.0,3,113.0,350.0,3,127.0,3,147.0,3,140.0,3,175.0,20.0,100.0,1,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,60.0,61.0,0.0,20.0,3,50.0,700.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,60.0,61.0,0.0,20.0,3,50.0,400.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,50.0,400.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,1,100.0,400.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,1,20.0,20.0,0.0,20.0,0,100.0,400.0,0,100.0,0,100.0,0,100.0,0,100.0,12.0,50.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,300.0,400.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,1,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,100.0,500.0,3,230.0,3,240.0,3,240.0,3,170.0,20.0,100.0,0,1,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,120.0,300.0,3,230.0,3,240.0,3,240.0,3,170.0,20.0,100.0,0,1,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,120.0,300.0,3,230.0,3,240.0,3,240.0,3,170.0,20.0,100.0,0,1,0,0,200.0,200.0,200.0,0,0.0,0,3.0,20.0,1,5.0,0,0,1,6.0
1,0,90.0,91.0,0.0,20.0,3,120.0,300.0,3,230.0,3,240.0,3,240.0,3,170.0,20.0,100.0,0,1,0,0,200.0,200.0,200.0,0,0.0,1,0.0,0.0,0,0.0,0,0,0,0.0
1,0,90.0,91.0,0.0,20.0,3,50.0,900.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,90.0,91.0,0.0,20.0,3,50.0,330.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,90.0,91.0,0.0,20.0,3,50.0,330.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,90.0,91.0,0.0,20.0,1,100.0,330.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,1,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,16.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,60.0,0.0,0.0,20.0,1,100.0,100.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,150.0,450.0,0,100.0,0,100.0,3,100.0,3,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,150.0,450.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,150.0,450.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,3.0,20.0,1,5.0,0,0,0,7.0
1,0,70.0,71.0,0.0,20.0,3,150.0,450.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,70.0,71.0,0.0,20.0,3,100.0,450.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,70.0,71.0,0.0,20.0,3,50.0,500.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,70.0,71.0,0.0,20.0,3,50.0,400.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,50.0,400.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,1,100.0,400.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,1,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,17.0,100.0,2,0,0,0,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,70.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,70.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,2,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,150.0,600.0,3,185.0,3,220.0,3,140.0,3,250.0,20.0,100.0,0,1,0,0,200.0,250.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,150.0,600.0,3,185.0,3,220.0,3,140.0,3,250.0,20.0,100.0,0,1,0,0,200.0,250.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,250.0,600.0,3,300.0,3,300.0,3,300.0,3,300.0,20.0,100.0,0,1,0,0,200.0,250.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,110.0,117.0,0.0,20.0,3,355.0,600.0,3,400.0,3,415.0,3,330.0,3,440.0,20.0,100.0,0,1,0,0,200.0,250.0,200.0,0,0.0,0,3.0,20.0,1,5.0,0,1,0,1.0
1,0,30.0,31.0,0.0,20.0,3,150.0,600.0,3,100.0,0,100.0,1,100.0,0,100.0,20.0,100.0,0,1,1,0,200.0,250.0,250.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,100.0,500.0,3,100.0,0,100.0,1,100.0,0,100.0,20.0,100.0,0,0,1,0,200.0,200.0,250.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,90.0,91.0,0.0,20.0,3,70.0,450.0,3,140.0,3,180.0,3,140.0,3,140.0,20.0,100.0,0,0,1,0,200.0,200.0,250.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,60.0,1300.0,1,100.0,0,100.0,1,100.0,0,100.0,20.0,100.0,0,0,1,0,200.0,200.0,250.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,1,100.0,330.0,1,100.0,0,100.0,1,100.0,0,100.0,20.0,100.0,0,0,1,0,200.0,200.0,250.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,30.0,31.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,1,0,200.0,200.0,250.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,1,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,16.0,200.0,0,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,140.0,0,100.0,20.0,100.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,200.0,0,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,500.0,600.0,0,100.0,0,100.0,3,220.0,3,220.0,20.0,100.0,1,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,0.0,0.0,0.0,20.0,3,500.0,600.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,1,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,156.0,900.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,1,0,0,0,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,100.0,101.0,0.0,20.0,3,60.0,400.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,1,0,0,0,200.0,200.0,200.0,0,0.0,1,0.0,20.0,0,5.0,0,1,1,6.0
1,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,70.0,71.0,0.0,20.0,3,50.0,1300.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,70.0,71.0,0.0,20.0,3,50.0,400.0,3,100.0,3,100.0,3,100.0,3,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,3,50.0,400.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
1,0,30.0,31.0,0.0,20.0,1,100.0,400.0,1,100.0,1,100.0,1,100.0,0,100.0,20.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,1,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,16.0,100.0,0,0,0,1,200.0,200.0,200.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
0,0,20.0,20.0,0.0,20.0,0,100.0,150.0,0,100.0,0,100.0,0,100.0,0,100.0,20.0,100.0,1,0,0,1,200.0,200.0,200.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0
