UMAP 1,UMAP 2,UMAP 3,Cluster
3.598039,10.183762,-7.875154,1
3.5965836,10.301157,-7.9038773,1
3.565034,10.304823,-7.930503,1
3.5305433,10.30209,-7.964749,1
3.5629513,10.304438,-7.9322405,1
-9.155049,10.495056,0.21856216,0
-11.311633,-2.6054049,3.7976778,2
-11.302293,-2.7357054,3.691966,2
16.639849,-8.329946,-10.809717,1
-6.3130956,-5.7976146,7.1245217,2
8.344041,-2.199838,12.806961,4
-5.458225,11.477454,-15.138719,1
16.16739,5.1216,-4.8524556,1
1.1920741,-15.16695,1.2656326,1
-4.122361,-11.399691,-7.8158436,2
11.196929,-16.665085,6.2234974,1
19.572577,-6.5643973,4.262346,1
10.147207,-13.333012,-9.883299,1
-5.4308186,17.408451,-7.8960986,0
-5.4610667,17.445074,-7.955942,0
-5.350585,17.303984,-7.922845,0
13.558776,17.872284,-15.943157,1
-8.96147,10.196239,0.5009199,0
-4.166763,5.244198,12.041536,2
-7.9133763,13.31418,8.119062,2
0.5056317,0.30902487,3.119292,2
1.810227,3.7580287,-0.4105292,1
-10.861407,6.6151977,13.900676,0
20.350729,1.1019497,-8.096579,1
21.135208,-0.7953552,-14.029457,1
12.533371,-0.08868767,-14.623112,1
7.71834,-11.341105,12.376179,4
-1.557803,10.506948,17.024006,4
9.214582,13.486904,2.8336532,3
9.264076,14.367956,3.1418977,3
9.064446,13.644359,4.0334263,3
8.823165,13.522698,3.3492427,3
8.97374,14.038669,3.440513,3
8.525114,13.841192,3.4086967,3
-9.500639,10.196606,0.6733101,0
4.2950535,10.789547,-7.5552754,1
-4.4574027,4.9456325,11.746986,2
-7.9130607,13.313798,8.118724,2
-5.414322,14.250766,0.647749,2
-0.7002887,-7.82376,8.869141,2
-0.7104255,-7.813638,8.865757,2
10.479418,10.9689045,-11.629714,1
-2.8062904,-4.297297,8.286134,2
10.523911,17.92591,-7.266898,1
-10.176808,-6.8265147,-2.1642177,2
16.764872,9.804003,-1.4700671,1
10.929691,-11.2061205,-3.3018196,1
10.775131,-11.148763,-3.181488,1
10.674404,-11.190027,-3.1023324,1
10.808782,-11.123883,-3.2596657,1
10.864952,-11.353028,-3.2759912,1
-9.213329,9.858761,0.15027106,0
3.7516854,9.83419,-7.852419,1
-1.3320037,-5.457406,-3.377695,2
-5.4359345,15.120777,7.1315446,2
1.2409421,-4.1645904,-2.8141983,1
0.5513254,0.4569147,2.4513988,2
4.96373,-3.3508227,6.138907,1
0.3557694,0.24572432,4.035912,2
-2.8814716,-4.3780255,8.208313,2
10.522028,17.923965,-7.26981,1
11.825261,-3.6040413,3.1387577,1
17.05882,10.103835,-1.3557473,1
10.8017645,-11.216402,-3.5044875,1
10.772974,-11.082154,-3.197622,1
10.796899,-10.985078,-3.0381243,1
10.729626,-11.006398,-3.0768714,1
10.847193,-11.244452,-3.4013247,1
-8.991015,10.011253,0.7067979,0
-11.365571,-2.669385,3.732819,2
-11.349002,-2.7240942,3.6902566,2
16.67613,-8.366266,-10.848535,1
-6.3138046,-5.796705,7.1241755,2
8.339756,-2.1963038,12.805742,4
-5.468214,11.48729,-15.129057,1
16.18115,5.135352,-4.838666,1
1.2008557,-15.175739,1.2744372,1
-4.128875,-11.396036,-7.822767,2
11.234823,-16.70297,6.185579,1
19.54634,-6.5932374,4.2914915,1
10.1128,-13.298771,-9.848521,1
-5.3238177,17.326221,-7.9047766,0
-5.530914,17.476273,-7.9697924,0
-5.307507,17.342339,-7.986112,0
13.586793,17.844389,-15.915276,1
-9.084023,9.949423,0.3188601,0
5.8597383,-2.03658,1.3330836,1
1.5724511,8.955807,-8.446129,1
-10.175829,-6.8222723,-2.1655617,2
-6.640363,-0.3067383,-14.679944,1
10.976178,-11.024797,-3.3869343,1
10.819032,-11.198704,-3.5565507,1
10.935777,-11.085159,-3.3023732,1
10.890312,-11.263242,-3.1528015,1
8.704571,14.410239,4.1110306,3
8.738552,13.372084,2.9289181,3
9.3449,13.132199,3.4868176,3
8.345587,14.166103,3.550729,3
8.896118,13.783575,2.8340247,3
8.91181,14.155183,3.9739983,3
9.438071,13.618182,2.7824395,3
9.06646,14.579741,4.0054793,3
-9.233838,10.000054,0.78171057,0
-9.306024,5.671751,-8.085901,2
0.45848843,1.6985766,7.7363787,2
-5.4342093,15.123477,7.129388,2
-2.8518906,4.6353183,1.6718023,2
-1.999291,-4.363451,1.3376746,2
8.099725,-0.82338244,-0.9245822,1
-1.9992857,-4.363446,1.337698,2
4.963801,-3.3508086,6.138928,1
0.35639328,0.25312957,4.037711,2
-2.8930836,-4.3897166,8.196685,2
10.502227,17.904232,-7.288743,1
11.843594,-3.6222825,3.120627,1
17.054262,10.099273,-1.360856,1
10.660802,-11.021595,-3.3721323,1
10.949501,-11.067929,-3.5159173,1
10.871887,-11.065166,-3.3452642,1
-9.161779,10.264924,0.22917503,0
-4.288552,5.1067796,11.899919,2
8.58962,1.9617682,7.120337,1
4.606876,-0.770849,14.842456,4
4.9781814,5.00613,-2.8907197,1
-10.909888,6.572021,13.908081,0
-2.762053,-11.441129,5.4098873,2
19.29931,3.9226663,9.445291,4
1.7134675,-8.610402,14.007151,4
-11.0565405,-8.076741,-2.6402926,2
-1.6404151,10.597575,16.91779,4
5.576474,0.8437673,-13.398192,1
-2.5838797,-3.2160068,-11.126298,1
9.208112,14.609447,3.1622674,3
8.894159,13.827365,3.6544242,3
9.726268,13.776078,3.4316583,3
8.672698,13.677381,3.9377182,3
-9.412968,10.221287,0.31085932,0
-4.520383,-0.61977947,-12.382628,1
-0.5980111,11.626765,-10.339779,1
20.568237,-3.0099504,-1.8920163,1
4.9611335,4.978083,-2.0639923,1
10.608481,10.841278,-11.759439,1
10.594839,10.85518,-11.74587,1
10.527075,10.921744,-11.67758,1
21.086382,-0.8264898,-14.066601,1
12.505713,-0.080215864,-14.578577,1
7.721655,-11.357615,12.366816,4
15.719824,-4.272483,9.997677,4
5.5676694,0.86557823,-13.423532,1
-2.5983539,-3.1911688,-11.131601,1
9.067804,13.949688,3.0967784,3
8.571435,14.429326,3.5511675,3
9.341533,13.349259,4.32693,3
-9.029377,10.136856,0.71735954,0
-11.41592,-2.5564942,3.7831092,2
-11.425856,-2.5292015,3.8089027,2
16.668879,-8.359381,-10.8331175,1
-6.308327,-5.7982345,7.134107,2
8.343169,-2.1996326,12.808346,4
-5.4656053,11.485852,-15.132054,1
16.161406,5.1156225,-4.858468,1
1.2498856,-15.224787,1.3234556,1
-4.1249175,-11.406006,-7.8146353,2
11.2479515,-16.716135,6.1725416,1
19.534336,-6.60585,4.304462,1
10.120182,-13.306207,-9.856116,1
-5.3965464,17.453959,-7.998468,0
-5.429435,17.429096,-7.9319673,0
-5.478322,17.367807,-7.8305893,0
13.599156,17.831804,-15.902624,1
-9.176988,10.161384,0.26603112,0
-4.3072524,5.1629314,11.889856,2
22.183676,9.042051,-3.4550638,1
-4.9712653,14.85514,6.62905,2
1.7342716,3.6804857,-0.4821208,1
-10.858061,6.5823984,13.880378,0
20.345745,1.0968491,-8.101587,1
21.106066,-0.7485776,-13.910128,1
12.601856,-0.011050609,-14.689695,1
7.5841904,-11.381886,12.506937,4
-1.6559778,10.538543,17.112522,4
8.390105,13.965082,3.1014237,3
9.230159,14.0029,4.189323,3
8.831216,13.983193,4.289478,3
8.977433,14.250735,3.8121192,3
8.349362,14.334205,3.6654885,3
9.628343,13.578147,3.800232,3
-9.199804,10.063059,0.17255725,0
-0.60066485,11.620097,-10.333017,1
20.567438,-3.0107815,-1.8928308,1
13.795072,-1.6783719,13.9272375,4
1.8075573,3.751395,-0.40813425,1
-3.949356,17.366032,-5.4072847,1
-3.949813,17.366024,-5.4079823,1
16.56861,9.604733,-1.5937891,1
10.745362,-11.251018,-3.0947695,1
9.548621,14.641247,3.3757524,3
8.967035,14.061539,4.136428,3
8.938121,14.3875475,3.8745492,3
9.3664875,13.682294,3.1947694,3
8.780695,14.025075,3.3603423,3
9.08526,13.247502,3.535584,3
8.248116,13.805141,3.864441,3
8.725312,14.451073,3.197115,3
-9.18874,9.68265,0.5290071,0
-5.688324,19.333406,3.6146147,2
0.29468307,-0.14833067,3.905481,2
9.6563835,2.5166833,-3.6208727,1
7.420647,-10.889828,12.067743,4
-1.5162365,10.657316,16.805082,4
10.78434,-11.210256,-3.2842708,1
10.963946,-11.175968,-3.247488,1
10.915709,-11.272494,-3.2434428,1
-5.6778455,19.322502,3.615303,2
-5.6781588,19.322645,3.602532,2
-5.68397,19.328424,3.6085854,2
-5.7036257,19.348114,3.5984328,2
-5.6887894,19.333368,3.6043568,2
-5.677802,19.322464,3.6284933,2
-5.6790204,19.323254,3.6109455,2
-5.6740885,19.318882,3.6169791,2
-9.300585,10.36293,0.1611038,0
7.777487,-3.3930502,-17.371872,1
2.993705,-10.433154,-8.385524,1
-16.013435,4.0720134,2.9229472,2
2.8962407,15.777676,-11.837303,1
23.229433,2.410889,1.0313076,1
-2.7652836,-11.44428,5.4130993,2
19.206324,3.829778,9.437497,4
1.712267,-8.611438,14.008178,4
-10.969599,-7.9966025,-2.5539632,2
-1.5146182,10.631513,16.854538,4
8.820849,13.912558,2.8133442,3
8.624255,13.532211,3.2908764,3
8.915989,13.519486,3.16789,3
8.952331,13.83279,3.982841,3
8.917001,14.3931055,2.711235,3
8.311953,14.180659,3.3445659,3
-9.399915,10.196744,0.8091854,0
-4.212555,5.176592,11.982115,2
8.588097,1.960609,7.1215186,1
4.5985413,-0.7639756,14.836077,4
-0.058819495,-0.39348626,-7.6227317,1
-10.860429,6.575063,13.891354,0
-2.76645,-11.446122,5.4138613,2
19.180782,3.8038156,9.392581,4
1.6962408,-8.627908,14.024583,4
-10.936143,-7.947865,-2.5060966,2
-1.6886636,10.607295,16.87821,4
5.6119666,0.8019198,-13.488967,1
-2.562316,-3.2513745,-11.068962,1
8.978575,13.855897,2.7645373,3
8.953462,14.761592,3.6445916,3
8.975703,13.690316,2.7007954,3
9.06595,13.842749,3.3379185,3
-8.996348,10.084252,0.39169505,0
-4.329284,5.085437,11.878535,2
8.931354,2.2220953,6.841389,1
4.694188,-0.98402363,15.116449,4
4.9801507,5.004277,-2.8871927,1
-10.884205,6.571139,13.904839,0
-2.7981958,-11.477275,5.4459925,2
19.255453,3.878869,9.455544,4
1.6882795,-8.635367,14.032123,4
-10.962934,-7.981033,-2.5527813,2
-1.6482425,10.50418,16.91025,4
8.607924,13.347862,3.4486198,3
8.428066,13.587617,4.02873,3
9.177574,14.078683,3.0871453,3
8.180298,13.548976,3.2790112,3
8.867803,14.382045,2.9946396,3
9.025741,13.831668,2.82073,3
-9.577609,10.239296,0.71393436,0
7.7880006,-3.403475,-17.36134,1
2.986613,-10.425752,-8.393464,1
-16.009798,4.075518,2.9265065,2
2.9010017,15.783211,-11.833193,1
23.229006,2.410163,1.0306258,1
-2.7817967,-11.460789,5.4295993,2
19.329416,3.9525032,9.554875,4
1.7173791,-8.606577,14.003365,4
-10.987412,-7.9852176,-2.56037,2
-1.5648116,10.501556,16.883131,4
9.494304,13.592525,2.9784071,3
9.139144,14.722198,3.5356557,3
9.171361,13.465317,3.440347,3
8.686701,13.582531,3.0125093,3
8.416725,14.788819,3.3624876,3
9.355536,14.23741,3.0847244,3
-9.282594,10.056458,0.61871547,0
-4.317309,5.391447,11.625726,2
16.585678,-8.275813,-10.751028,1
16.596739,-8.285854,-10.761885,1
-1.4644841,0.054873433,-3.1274872,2
-5.6601567,19.305008,3.6279578,2
-2.3701866,0.58840257,17.270144,4
21.132208,-0.79416347,-14.027735,1
12.631497,0.022809634,-14.708767,1
7.608863,-11.377007,12.479992,4
17.232029,-10.286562,-0.73754215,1
5.711963,0.6122903,-13.246755,1
-5.6819663,19.326433,3.6106508,2
-5.6802874,19.324783,3.6133614,2
-5.691905,19.336632,3.6222675,2
-5.6717696,19.316698,3.6239192,2
-5.7064214,19.350948,3.5935512,2
-9.52077,10.225543,0.2448309,0
4.2934775,10.78854,-7.557041,1
-7.383357,-7.6332407,16.026915,4
-7.8987293,13.300876,8.104416,2
-5.4141145,14.2502365,0.6478498,2
8.263812,4.760432,-3.649699,1
8.263807,4.760412,-3.6496613,1
10.4800205,10.968181,-11.630279,1
-2.8355854,-4.326685,8.256712,2
10.501378,17.903347,-7.29071,1
-10.213829,-6.8691444,-2.194288,2
16.730799,9.769588,-1.4937735,1
10.907031,-11.250824,-3.3702085,1
10.7080345,-10.896588,-3.254585,1
10.941457,-10.966505,-3.510644,1
10.744341,-11.270273,-3.1770325,1
10.930164,-11.09461,-3.2350273,1
-9.209149,10.193533,0.49155864,0
-4.238253,5.1862936,11.9701605,2
22.195051,9.029518,-3.4673567,1
4.904451,-1.4172727,15.688641,4
-0.73020935,0.10202229,-2.9077787,1
-10.9140625,6.551615,13.924376,0
-2.4304621,0.5289114,17.209394,4
21.206507,-0.71148735,-13.99219,1
12.519016,-0.17187247,-14.61687,1
7.6697283,-11.407127,12.398431,4
17.222397,-10.296301,-0.74724865,1
5.6824,0.65044117,-13.268532,1
8.993139,14.224538,3.5894365,3
8.643262,14.019624,3.1812336,3
8.894502,14.583337,3.2303865,3
9.492479,13.370417,3.8892243,3
9.069272,13.877851,4.2095737,3
-9.451068,10.173171,0.19956668,0
-11.332237,-2.6957586,3.7068815,2
-11.418596,-2.5889332,3.6803799,2
16.673943,-8.363899,-10.83941,1
7.5721116,3.4175444,1.6643314,1
8.348771,-2.2041945,12.811532,4
-5.478626,11.497061,-15.118155,1
16.17551,5.129693,-4.8443503,1
1.2278829,-15.202769,1.3014401,1
-4.1094246,-11.4160795,-7.8019443,2
11.228315,-16.696545,6.1921773,1
19.587193,-6.550805,4.248589,1
10.116882,-13.302928,-9.852933,1
-5.459524,17.364172,-7.856989,0
-5.3750334,17.418657,-7.9779654,0
-5.2263145,17.352024,-8.061087,0
13.60909,17.821873,-15.892696,1
-9.312794,10.002531,0.6679246,0
-4.1772013,5.2094064,12.028441,2
22.185192,9.040593,-3.4565647,1
4.9159455,-1.4186814,15.702746,4
-0.7255705,0.10238639,-2.9064562,1
-10.870134,6.5732503,13.864124,0
-2.3584373,0.6008669,17.281511,4
21.133234,-0.76052755,-13.960961,1
12.47372,-0.14722815,-14.593082,1
7.653489,-11.391139,12.440345,4
17.222425,-10.296266,-0.7472159,1
5.6989737,0.62651336,-13.252521,1
9.119123,14.378601,3.4775941,3
8.851957,14.17078,3.6925828,3
9.373095,13.828778,3.6792583,3
8.160207,14.342756,3.797128,3
8.944421,14.113466,2.8657575,3
-9.168888,9.941299,0.21280286,0
-9.138063,5.7863574,-7.89081,2
0.4338135,1.6753714,7.707869,2
8.599204,-0.920728,0.40373954,1
-2.0792055,2.5487838,-0.57038856,2
8.391043,-0.85561883,0.22363126,1
8.108144,-0.77506065,0.09267294,1
13.150699,-7.6591005,4.47297,1
21.659721,-0.53018224,-14.096691,1
12.5118685,-0.11610165,-14.594841,1
7.7565737,-11.3493185,12.342774,4
17.033428,10.0781,-1.3729794,1
10.556523,-11.23587,-3.1588252,1
10.708443,-11.032479,-3.3385258,1
10.942574,-11.166298,-3.4087474,1
10.706622,-11.145058,-3.3712761,1
10.898877,-11.22019,-3.4428525,1
-9.054428,10.098209,0.740695,0
7.7808695,-3.3966253,-17.368658,1
2.9940803,-10.433288,-8.385101,1
-16.018183,4.0674195,2.918304,2
2.8952327,15.780914,-11.839071,1
23.234003,2.415177,1.0356213,1
-2.9194407,-11.597916,5.5674086,2
19.31762,3.9409447,9.463229,4
1.7188532,-8.605202,14.001958,4
-10.951207,-7.971273,-2.5422611,2
-1.6551695,10.538103,16.958359,4
8.837664,13.728824,2.6418803,3
8.548794,13.582345,3.1955328,3
9.448118,13.982864,2.6899345,3
8.743875,14.027473,2.8612049,3
8.388172,13.605243,3.0046678,3
8.73919,13.507764,3.3504834,3
-9.112203,10.484707,0.16659953,0
-11.285442,-2.457676,3.9246492,2
-11.288286,-2.4425304,3.9354622,2
16.58864,-8.277971,-10.760286,1
-0.84995914,3.5247874,-5.4942126,1
8.361916,-2.2209501,12.8245945,4
-5.457451,11.479216,-15.139836,1
16.188807,5.1430016,-4.8311396,1
1.2138953,-15.188775,1.2875042,1
-4.103034,-11.421878,-7.7973413,2
11.22497,-16.693151,6.1955156,1
19.55779,-6.5800304,4.2779083,1
10.138207,-13.3242445,-9.874445,1
-5.359714,17.364006,-7.965983,0
-5.3883324,17.276052,-7.835908,0
-5.3848033,17.40673,-7.9481764,0
13.624632,17.806353,-15.877177,1
-9.41203,10.210784,0.18585308,0
-10.479194,1.6634712,-9.227391,2
4.833007,5.9538207,-17.257029,1
0.50797385,15.757778,-3.9772005,1
1.7942199,10.612056,-16.297268,1
1.9707823,15.386675,-15.118326,1
8.261718,-0.92177594,-0.8117959,1
-12.125787,8.052716,-12.78323,2
13.267563,7.7082505,-13.30213,1
2.8020828,-8.572449,-16.728039,1
8.901203,6.061724,-16.585775,1
19.043821,8.832612,-15.890677,1
7.0846057,14.567536,-16.557331,1
19.2212,-2.492956,11.435649,4
7.041336,-8.488078,16.385195,4
4.85363,20.224209,-10.927313,1
4.7863407,20.156017,-10.86283,1
-9.210242,10.210227,0.52734774,0
3.476757,10.366071,-8.008419,1
0.55897427,0.4299863,2.778677,2
8.130797,2.0363793,3.8490713,1
7.4726696,-11.002311,12.155866,4
-1.6153493,10.541564,16.965961,4
10.905174,-11.042194,-3.527993,1
10.534399,-11.224036,-3.1088483,1
10.8387375,-11.117129,-3.512079,1
9.197787,13.392205,3.3715942,3
9.379085,13.130477,3.15807,3
9.26751,14.246667,3.0204897,3
8.26657,14.223316,3.3568032,3
8.582974,14.41301,3.3399804,3
9.718972,14.021971,3.3454225,3
8.943552,13.895001,3.5540783,3
9.001598,14.46642,3.338268,3
-9.042161,10.15898,0.3248581,0
7.7763925,-3.391937,-17.372961,1
2.9885085,-10.427723,-8.39068,1
-16.016983,4.0688887,2.9197004,2
2.8915205,15.771086,-11.840865,1
23.238205,2.4193301,1.0397928,1
-2.9075077,-11.5860405,5.5554795,2
19.197205,3.8204138,9.412373,4
1.7026234,-8.621086,14.017837,4
-10.996209,-8.016016,-2.5753295,2
-1.6662375,10.498605,16.975683,4
9.346221,14.14115,2.730858,3
9.532893,13.413983,3.6887703,3
8.784839,14.513727,3.1859457,3
9.179953,13.545003,3.7009628,3
8.216799,14.065549,3.6329355,3
9.8004465,13.911245,3.255836,3
-9.502496,10.16397,0.28702423,0
-4.143462,5.234075,12.060608,2
22.185955,9.03907,-3.4579444,1
-4.97073,14.854959,6.6283884,2
8.533964,9.039424,-5.009778,1
-10.887218,6.6234646,13.917016,0
20.359892,1.110979,-8.087473,1
21.220087,-0.765046,-14.099928,1
12.41115,-0.24382897,-14.5417595,1
7.5602236,-11.420975,12.521931,4
-1.6717596,10.578136,16.828058,4
9.660298,14.401972,2.9127424,3
8.945499,13.308303,3.7500494,3
9.02115,13.295534,3.1136522,3
9.227134,13.984205,4.244287,3
9.152854,13.827785,3.6092346,3
9.225691,13.707209,3.0211627,3
-9.299182,9.998246,0.7155782,0
-0.6051336,11.615254,-10.32822,1
20.556263,-3.021732,-1.9038296,1
13.796293,-1.6796217,13.9284725,4
1.7950749,3.738154,-0.41929713,1
1.5680096,8.953293,-8.439577,1
16.562984,9.598944,-1.597328,1
-4.5051775,-0.63606834,-12.368218,1
10.941405,-10.94252,-3.4877253,1
8.893962,13.754844,2.8103206,3
9.268826,14.196876,3.6249635,3
8.923987,13.680175,3.2887626,3
8.562646,13.255638,2.7503283,3
8.356831,13.803382,2.9754434,3
8.684381,14.083136,2.7472918,3
8.777381,14.608694,3.354785,3
9.287889,14.256521,2.9872217,3
-9.185346,10.019607,0.2581673,0
16.97071,14.370966,-9.993182,1
9.132655,-1.1564155,0.91140777,1
11.376802,16.230831,-10.751272,1
-1.5567683,0.033594903,-3.1473053,2
13.443965,4.152406,0.70636785,1
-3.453193,-14.388279,-10.19822,2
19.23598,3.8594105,9.438684,4
1.6571774,-8.666851,14.063556,4
-11.007052,-8.019067,-2.578332,2
-1.6391442,10.545794,16.934536,4
8.851298,13.632006,3.6440978,3
9.117333,14.643165,3.907613,3
8.781335,14.428547,3.8999531,3
8.625728,13.881272,2.9519408,3
9.266695,13.595776,3.4372404,3
9.60381,14.107151,3.3572044,3
-9.249812,10.048198,0.77961934,0
7.767757,-3.3833401,-17.381641,1
2.977743,-10.416958,-8.40149,1
-16.037275,4.0481396,2.8989983,2
-0.035143007,-0.41700116,-7.599006,1
23.2304,2.4115603,1.0319958,1
-2.9233713,-11.602252,5.571237,2
19.253496,3.8765945,9.509013,4
1.6089996,-8.71478,14.111569,4
-10.987842,-8.007036,-2.5717523,2
-1.4490312,10.643759,16.821049,4
9.49042,14.261591,3.2723255,3
9.474938,14.590453,3.4453883,3
9.181443,14.5993,3.234068,3
8.474731,13.679968,2.7093425,3
9.123713,13.435689,3.4988904,3
9.395048,14.145412,3.2466826,3
-9.187041,10.086227,0.1434662,0
-10.530349,1.7128845,-9.278531,2
7.7796183,-3.394724,-17.36901,1
3.3875744,-6.002441,-7.7556753,1
-6.686533,-5.7359643,6.1443944,2
8.251065,-0.90901875,-0.8277101,1
-12.123589,8.054892,-12.781118,2
13.258688,7.6995897,-13.310928,1
2.8344548,-8.540087,-16.760412,1
8.902695,6.0600686,-16.586939,1
19.044727,8.833514,-15.889861,1
17.221703,-10.29699,-0.7479409,1
19.214773,-2.4865143,11.429204,4
7.046651,-8.493452,16.379656,4
3.4389734,10.377802,-8.039053,1
4.800103,20.172623,-10.879604,1
4.8717866,20.241152,-10.935752,1
-9.435237,10.323105,0.5068874,0
-4.323361,5.1075807,11.898194,2
13.598181,1.5880864,2.88704,1
7.0873585,-0.13909422,-3.0543857,1
4.816686,5.09376,-2.125055,1
7.800998,-0.69889283,-1.3579581,1
-10.869981,6.586342,13.845315,0
-2.366189,0.59318614,17.273703,4
20.94567,-0.8617283,-13.515913,1
11.861217,-3.6393538,3.1044104,1
-10.468581,-7.2508974,-2.29166,2
-1.6233808,10.695266,17.027845,4
5.6143713,0.80024284,-13.4053335,1
-2.5613053,-3.2374752,-11.109757,1
8.700171,14.468798,2.9230425,3
9.661903,13.602048,3.7545383,3
9.146484,13.688393,3.8308263,3
-9.053819,10.310597,0.5003484,0
3.744432,9.847413,-7.8538833,1
-1.3319409,-5.457407,-3.377815,2
-5.4361954,15.121189,7.1317763,2
1.2409286,-4.1645846,-2.8141842,1
0.5513442,0.45018116,2.4669082,2
4.963721,-3.3508358,6.138899,1
0.35644794,0.2526195,4.0378284,2
-2.8915787,-4.388096,8.198213,2
10.5164175,17.918415,-7.2748113,1
11.826911,-3.605807,3.1368551,1
17.054434,10.099945,-1.3595508,1
10.765652,-11.167325,-3.4992893,1
10.703411,-10.988998,-3.107014,1
10.803637,-11.009989,-3.2798383,1
10.980099,-11.273072,-3.4082243,1
10.943041,-11.130664,-3.4366043,1
-8.783925,10.108862,0.579467,0
7.781681,-3.3971765,-17.36767,1
2.9880326,-10.427246,-8.391138,1
-16.040752,4.0451584,2.8959498,2
2.9080827,15.790441,-11.8263035,1
23.23395,2.4133487,1.0342966,1
-2.758257,-11.437197,5.4060216,2
19.246868,3.8700762,9.516493,4
1.6738328,-8.650077,14.046853,4
-10.972962,-7.989989,-2.5560803,2
-1.5680653,10.735513,16.808846,4
8.792626,13.732412,3.8404522,3
8.641259,13.818167,2.974059,3
8.585526,13.884667,2.9374647,3
8.791274,13.165502,3.438737,3
8.480858,13.064939,3.5326302,3
9.031298,13.712238,3.726764,3
-8.802217,10.145521,0.5787604,0
-11.306662,-2.7631612,3.6912067,2
-11.37478,-2.6975486,3.7126772,2
16.67033,-8.361018,-10.839912,1
7.5721393,3.4177206,1.6647542,1
7.8888044,-0.69291115,0.21867622,1
8.322096,-2.177442,12.7856865,4
-5.465134,11.48611,-15.132251,1
16.20273,5.1578684,-4.8160586,1
1.2027942,-15.177679,1.2763629,1
-4.106418,-11.417841,-7.8011794,2
11.194804,-16.663002,6.225692,1
19.564598,-6.5731254,4.2710576,1
-5.320031,17.327559,-8.0255575,0
-5.380297,17.407314,-7.9941864,0
-5.451581,17.353378,-7.887688,0
13.601819,17.829208,-15.900031,1
-9.247137,10.320364,0.75174046,0
4.295575,10.78986,-7.5550265,1
-4.4491916,4.9580026,11.743546,2
-7.91305,13.313765,8.118725,2
-5.4138193,14.251118,0.6476492,2
-0.7091142,-7.815364,8.8664665,2
-0.7015644,-7.821159,8.880298,2
10.495565,10.952731,-11.645858,1
-2.824922,-4.3159623,8.2674,2
10.512195,17.91418,-7.2793264,1
-10.186923,-6.8388915,-2.1717792,2
16.770664,9.810064,-1.4733206,1
10.873752,-11.137323,-3.252094,1
